datetime,training_steps,game_length,game_result,num_passes,black_elo_rating,white_elo_rating
2024-10-17 06:35:22,91000,31,B+13.5,5,1330.945227174088,1299.68153396761
2024-10-17 06:45:57,92000,29,B+17.5,5,1346.945227174088,1315.68153396761
2024-10-17 06:56:33,93000,31,B+13.5,5,1362.945227174088,1331.68153396761
2024-10-17 07:06:42,94000,31,B+13.5,5,1378.945227174088,1347.68153396761
2024-10-17 07:17:18,95000,31,B+13.5,5,1394.945227174088,1363.68153396761
2024-10-17 07:27:57,96000,35,B+12.5,6,1410.945227174088,1379.68153396761
2024-10-17 07:38:33,97000,31,B+13.5,5,1426.945227174088,1395.68153396761
2024-10-17 07:48:39,98000,31,B+13.5,5,1442.945227174088,1411.68153396761
2024-10-17 07:59:27,99000,41,B+17.5,7,1458.945227174088,1427.68153396761
2024-10-17 08:10:05,100000,31,B+13.5,5,1474.945227174088,1443.68153396761
2024-10-17 08:20:07,101000,29,B+17.5,5,1490.945227174088,1459.68153396761
2024-10-17 08:30:56,102000,43,B+17.5,8,1506.945227174088,1475.68153396761
2024-10-17 08:41:03,103000,31,B+13.5,5,1522.945227174088,1491.68153396761
2024-10-17 08:51:39,104000,31,B+13.5,5,1538.945227174088,1507.68153396761
2024-10-17 09:02:15,105000,31,B+13.5,5,1554.945227174088,1523.68153396761
2024-10-17 09:12:50,106000,32,B+12.5,5,1570.945227174088,1539.68153396761
2024-10-17 09:23:09,107000,43,B+17.5,8,1586.945227174088,1555.68153396761
